Ref;Arena Link;Category;Characteristics;Commodity Class;Created Date;Description;DXDB_LIBNAME;Effective Date;Footprint;Halogen Free;Manufacturer 1;Manufacturer 1 PN;Manufacturer 2;Manufacturer 2 PN;Manufacturer 3;Manufacturer 3 PN;Manufacturer 4;Manufacturer 4 PN;Manufacturer 5;Manufacturer 5 PN;Owner;Part Height;Part Status;Rating;Requestor;Revision;RoHS Compliant;Temperature Range;Tolerance;Value;Variant Variable Text;Voltage;Price
C1029;https://app.bom.com/a/N5O6P9S9SBUCLHCA?v=files.associations;Capacitor;C0G;PAS - Passives;2004-12-21T10:56:53-08:00;CAP, 10pF, 50V, 5%, C0G, CERAMIC, 0402;Capacitor;2012-03-16T13:58:58-08:00;0402C;N/A;MURATA GRM1555C1H100JA01D;GRM1555C1H100JA01D;TAIYO YUDEN UMK105CG100JV-F;UMK105CG100JV-F;;;;;;;Morris Chau;0.55mm;Production;;Kevin Dotzler;2;N/A;-55 +125C;5%;10pF;;50V;0.0
C1030;https://app.bom.com/a/J1K2L5O5O7OCQRFG?v=files.associations;Capacitor;C0G;PAS - Passives;2011-05-10T11:01:38-08:00;CAP, 100pF, 50V, 5%, C0G, CERAMIC, 0402;Capacitor;2014-04-28T09:22:48-08:00;0402C;;MURATA GRM1555C1H101JA01D;GRM1555C1H101JA01D;TAIYO YUDEN UMK105CG101JV-F;UMK105CG101JV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +125C;5%;100pF;;50V;0.0
C1031;https://app.bom.com/a/N5O6P9S9SBUCLHCA?v=files.associations;Capacitor;C0G;PAS - Passives;2004-12-21T10:56:53-08:00;CAP, 10pF, 50V, 5%, C0G, CERAMIC, 0402;Capacitor;2012-03-16T13:58:58-08:00;0402C;N/A;MURATA GRM1555C1H100JA01D;GRM1555C1H100JA01D;TAIYO YUDEN UMK105CG100JV-F;UMK105CG100JV-F;;;;;;;Morris Chau;0.55mm;Production;;Kevin Dotzler;2;N/A;-55 +125C;5%;10pF;;50V;0.0
C1032;https://app.bom.com/a/6O7P8SBSBUDMZMOD?v=files.associations;Capacitor;X5R;PAS - Passives;2009-03-11T13:25:27-08:00;CAP, 1uF, 10V, 10%, X5R, CERAMIC, 0402;Capacitor;2014-03-12T04:39:29-08:00;0402C;N/A;MURATA GRM155R61A105KE15D;GRM155R61A105KE15D;TAIYO YUDEN LMK105BJ105KV-F;LMK105BJ105KV-F;;;;;;;Morris Chau;0.55mm;Production;;Kristi Eng;2;N/A;-55 +85C;10%;1uF;;10V;0.0
C1033;https://app.bom.com/a/J1K2L5O5O7OCQRFG?v=files.associations;Capacitor;C0G;PAS - Passives;2011-05-10T11:01:38-08:00;CAP, 100pF, 50V, 5%, C0G, CERAMIC, 0402;Capacitor;2014-04-28T09:22:48-08:00;0402C;;MURATA GRM1555C1H101JA01D;GRM1555C1H101JA01D;TAIYO YUDEN UMK105CG101JV-F;UMK105CG101JV-F;;;;;;;Michael Sorensen;0.55mm;Production;;Michael Sorensen;1;;-55 +125C;5%;100pF;;50V;0.0
C1034;https://app.bom.com/a/4M5N6Q9Q9SBSJE5I?v=files.associations;Capacitor;C0G;PAS - Passives;2006-08-30T06:12:56-08:00;CAP, 1pF, 25V, +/-0.25pF, C0G, CERAMIC, 0201;Capacitor;2014-07-24T08:53:06-08:00;0201C;N/A;MURATA GRM0335C1E1R0CA01D;GRM0335C1E1R0CA01D;MURATA GRM0335C1E1R0CD01D;GRM0335C1E1R0CD01D;TAIYO YUDEN TMK063CG010CT-F;TMK063CG010CT-F;;;;;Morris Chau;0.33mm;Production;Murata & Taiyo Yuden Dual Source SWI P/N;Mark Van Hoorebeke;3;N/A;-55 +125C;0.25pF;1pF;;25V;0.0
C1035;https://app.bom.com/a/0I1J2M5M5O7JDY2V?v=files.associations;Capacitor;C0G;PAS - Passives;2008-06-18T11:38:59-08:00;CAP, 1.5pF, 25V, +/-0.25pF, C0G, HI-Q, LOW LOSS, 0201;Capacitor;2015-08-27T02:32:55-08:00;0201C;N/A;MURATA GJM0335C1E1R5CB01;GJM0335C1E1R5CB01;;;;;;;;;Morris Chau;0.33mm;Production;HI-Q, LOW LOSS;Mark Van Hoorebeke;2;N/A;-55 +125C;0.25pF;1.5pF;DNI;25V;0.0
C1036;https://app.bom.com/a/0I1J2M5M5O7JDY2V?v=files.associations;Capacitor;C0G;PAS - Passives;2008-06-18T11:38:59-08:00;CAP, 1.5pF, 25V, +/-0.25pF, C0G, HI-Q, LOW LOSS, 0201;Capacitor;2015-08-27T02:32:55-08:00;0201C;N/A;MURATA GJM0335C1E1R5CB01;GJM0335C1E1R5CB01;;;;;;;;;Morris Chau;0.33mm;Production;HI-Q, LOW LOSS;Mark Van Hoorebeke;2;N/A;-55 +125C;0.25pF;1.5pF;DNI;25V;0.0
C1037;https://app.bom.com/a/N5O6P9S9SBB6FXFJ?v=files.associations;Capacitor;C0G;PAS - Passives;2012-05-14T17:38:41-08:00;CAP, 1.8pF, 25V, +/-0.03pF, C0G, HI-Q, LOW LOSS, 0201;Capacitor;2013-04-11T14:58:16-08:00;0201C;N/A;MURATA GJM0335C1E1R8RB12;GJM0335C1E1R8RB12;;;;;;;;;Morris Chau;0.33mm;Production;HI-Q, LOW LOSS, LOW TOLERANCE;Paul Nysen;1;N/A;-55 +125C;0.03pF;1.8pF;DNI;25V;0.0
C1038;https://app.bom.com/a/N5O6P9S9SBB6FXFJ?v=files.associations;Capacitor;C0G;PAS - Passives;2012-05-14T17:38:41-08:00;CAP, 1.8pF, 25V, +/-0.03pF, C0G, HI-Q, LOW LOSS, 0201;Capacitor;2013-04-11T14:58:16-08:00;0201C;N/A;MURATA GJM0335C1E1R8RB12;GJM0335C1E1R8RB12;;;;;;;;;Morris Chau;0.33mm;Production;HI-Q, LOW LOSS, LOW TOLERANCE;Paul Nysen;1;N/A;-55 +125C;0.03pF;1.8pF;DNI;25V;0.0
C1039;https://app.bom.com/a/0I1J2M5M5O7JDY2V?v=files.associations;Capacitor;C0G;PAS - Passives;2008-06-18T11:38:59-08:00;CAP, 1.5pF, 25V, +/-0.25pF, C0G, HI-Q, LOW LOSS, 0201;Capacitor;2015-08-27T02:32:55-08:00;0201C;N/A;MURATA GJM0335C1E1R5CB01;GJM0335C1E1R5CB01;;;;;;;;;Morris Chau;0.33mm;Production;HI-Q, LOW LOSS;Mark Van Hoorebeke;2;N/A;-55 +125C;0.25pF;1.5pF;DNI;25V;0.0
C1045;https://agiledev.sierrawireless.local/Agile/object/Parts/3001406;Capacitor;C0G;PAS - PASSIVES;2006-08-30T13:12:59Z;CAP, 10pF, 5%, 25V, C0G, CERAMIC, 0201;Capacitor;;0201C;Compliant;TAIYO YUDEN TMK063CG100DT-F;TMK063CG100DT-F;MURATA GRM0335C1E100JD01D;GRM0335C1E100JD01D;TAIYO YUDEN TMK063CG100JT-F;TMK063CG100JT-F;MURATA GRM0335C1E100JA01D;GRM0335C1E100JA01D;;;;0.33mm;Production;;Terrence Yue;3;Compliant;-55 +125C;5%;10pF;DNI;25V;0.0
C1053;https://app.bom.com/a/0I1J2M5M5O7JDY2V?v=files.associations;Capacitor;C0G;PAS - Passives;2008-06-18T11:38:59-08:00;CAP, 1.5pF, 25V, +/-0.25pF, C0G, HI-Q, LOW LOSS, 0201;Capacitor;2015-08-27T02:32:55-08:00;0201C;N/A;MURATA GJM0335C1E1R5CB01;GJM0335C1E1R5CB01;;;;;;;;;Morris Chau;0.33mm;Production;HI-Q, LOW LOSS;Mark Van Hoorebeke;2;N/A;-55 +125C;0.25pF;1.5pF;DNI;25V;0.0
C1060;https://app.bom.com/a/9RASBVEVEXGXOJ78?v=files.associations;Capacitor;C0G;PAS - Passives;2006-08-30T06:13:02-08:00;CAP, 2.7pF, 25V, +/-0.1pF, C0G, 0201;Capacitor;2013-02-25T16:20:36-08:00;0201C;N/A;MURATA GRM0335C1E2R7BD01D;GRM0335C1E2R7BD01D;MURATA GRM0335C1E2R7BA01D;GRM0335C1E2R7BA01D;;;;;;;Morris Chau;0.33mm;Production;;;4;N/A;-55 +125C;0.1pF;2.7pF;;25V;0.0
C1061;https://app.bom.com/a/O6P7QATATCVC434K?v=files.associations;Capacitor;X7R;PAS - Passives;2006-08-21T22:05:36-08:00;CAP, 100pF, 25V, 10%, X7R, CERAMIC, 0201;Capacitor;2015-06-02T16:11:15-08:00;0201C;N/A;MURATA GRM033R71E101KA01D;GRM033R71E101KA01D;NIC COMPONENTS NMC0201X7R101K25TRPF;NMC0201X7R101K25TRPF;TAIYO YUDEN TMK063BJ101KP-F;TMK063BJ101KP-F;;;;;Morris Chau;0.33mm;Production;;Rachel Wong;2;N/A;-55 +125C;10%;100pF;;25V;0.0
C1063;https://app.bom.com/a/0I1J2M5M5O7JDY2V?v=files.associations;Capacitor;C0G;PAS - Passives;2008-06-18T11:38:59-08:00;CAP, 1.5pF, 25V, +/-0.25pF, C0G, HI-Q, LOW LOSS, 0201;Capacitor;2015-08-27T02:32:55-08:00;0201C;N/A;MURATA GJM0335C1E1R5CB01;GJM0335C1E1R5CB01;;;;;;;;;Morris Chau;0.33mm;Production;HI-Q, LOW LOSS;Mark Van Hoorebeke;2;N/A;-55 +125C;0.25pF;1.5pF;;25V;0.0
C1065;https://app.bom.com/a/0I1J2M5M5O7JDY2V?v=files.associations;Capacitor;C0G;PAS - Passives;2008-06-18T11:38:59-08:00;CAP, 1.5pF, 25V, +/-0.25pF, C0G, HI-Q, LOW LOSS, 0201;Capacitor;2015-08-27T02:32:55-08:00;0201C;N/A;MURATA GJM0335C1E1R5CB01;GJM0335C1E1R5CB01;;;;;;;;;Morris Chau;0.33mm;Production;HI-Q, LOW LOSS;Mark Van Hoorebeke;2;N/A;-55 +125C;0.25pF;1.5pF;DNI;25V;0.0
C1087;https://app.bom.com/a/8Q9RAUDUDWFRL6AX?v=files.associations;Capacitor;C0G;PAS - Passives;2008-06-18T11:39:03-08:00;CAP, 2.2pF, 25V, +/-0.25pF, C0G, HI-Q, LOW LOSS, 0201;Capacitor;2012-03-01T12:03:00-08:00;0201C;N/A;MURATA GJM0335C1E2R2CB01D;GJM0335C1E2R2CB01D;;;;;;;;;Morris Chau;0.33mm;Design;HI-Q, LOW LOSS;Mark Van Hoorebeke;B;N/A;-55 +125C;0.25pF;2.2pF;;25V;0.0
